epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1106.67,1.37292,0.67496,1.23172,0.92607,0.87509,0.91395,0.56609,1.43438,0.6701,1.37038,0.0015941,0.0015941,0.0015941
43,1133.12,1.34757,0.67433,1.25251,0.91951,0.88538,0.91795,0.56324,1.38263,0.66105,1.34616,0.0015842,0.0015842,0.0015842
44,1159.41,1.35005,0.66493,1.23139,0.92697,0.86244,0.90062,0.54693,1.43885,0.83242,1.39989,0.0015743,0.0015743,0.0015743
45,1185.77,1.33332,0.66657,1.22682,0.94761,0.86342,0.91622,0.55908,1.44046,0.68109,1.3773,0.0015644,0.0015644,0.0015644
46,1211.96,1.34143,0.66044,1.23105,0.92725,0.87097,0.91695,0.55495,1.41107,0.67695,1.35743,0.0015545,0.0015545,0.0015545
47,1238.19,1.31949,0.66056,1.22578,0.91922,0.89224,0.926,0.56925,1.41143,0.63001,1.35125,0.0015446,0.0015446,0.0015446
48,1264.5,1.3195,0.64873,1.22145,0.92397,0.90083,0.91638,0.57062,1.35451,0.63218,1.32447,0.0015347,0.0015347,0.0015347
49,1290.8,1.29111,0.63422,1.20977,0.93123,0.89228,0.91657,0.57372,1.38432,0.64521,1.35179,0.0015248,0.0015248,0.0015248
50,1317.13,1.30238,0.63974,1.22605,0.932,0.87783,0.92068,0.56655,1.36954,0.62515,1.33896,0.0015149,0.0015149,0.0015149
51,1343.36,1.33415,0.6501,1.22986,0.92277,0.89389,0.91616,0.56109,1.39531,0.62477,1.3468,0.001505,0.001505,0.001505
52,1369.77,1.31173,0.63201,1.19911,0.93129,0.88607,0.91953,0.56014,1.35682,0.62722,1.31332,0.0014951,0.0014951,0.0014951
53,1396.2,1.29983,0.62728,1.20992,0.94103,0.88709,0.92496,0.58237,1.34965,0.6295,1.32204,0.0014852,0.0014852,0.0014852
54,1422.66,1.26158,0.60643,1.1936,0.92995,0.89289,0.92251,0.58793,1.35135,0.60554,1.32498,0.0014753,0.0014753,0.0014753
55,1449.08,1.26853,0.61766,1.19861,0.9498,0.87989,0.9213,0.58246,1.31481,0.61479,1.29952,0.0014654,0.0014654,0.0014654
56,1475.38,1.27535,0.61622,1.19164,0.94032,0.8792,0.92036,0.58342,1.3511,0.59867,1.32915,0.0014555,0.0014555,0.0014555
57,1501.63,1.268,0.61384,1.18897,0.93753,0.88585,0.92038,0.58148,1.32139,0.62134,1.30106,0.0014456,0.0014456,0.0014456
58,1527.88,1.26451,0.63804,1.20136,0.9257,0.89774,0.92457,0.57645,1.31585,0.61374,1.30783,0.0014357,0.0014357,0.0014357
59,1554.15,1.25409,0.60762,1.18858,0.93665,0.88675,0.92472,0.59609,1.29551,0.58671,1.29167,0.0014258,0.0014258,0.0014258
60,1580.68,1.2516,0.59649,1.18247,0.94018,0.87371,0.91912,0.58216,1.36685,0.60906,1.34133,0.0014159,0.0014159,0.0014159
61,1607.29,1.2476,0.6084,1.18446,0.94082,0.88385,0.91393,0.57929,1.31951,0.6123,1.31189,0.001406,0.001406,0.001406
62,1633.75,1.27023,0.61486,1.17801,0.93674,0.88427,0.92397,0.59391,1.32912,0.59376,1.31922,0.0013961,0.0013961,0.0013961
63,1660.02,1.21711,0.59767,1.18078,0.93378,0.90002,0.92862,0.58963,1.26118,0.57743,1.28108,0.0013862,0.0013862,0.0013862
64,1686.37,1.21312,0.60792,1.18844,0.93651,0.90097,0.92797,0.59376,1.31073,0.59403,1.30038,0.0013763,0.0013763,0.0013763
65,1711.68,1.22897,0.60798,1.17075,0.93805,0.89705,0.92733,0.61174,1.28169,0.57093,1.28884,0.0013664,0.0013664,0.0013664
66,1737.04,1.22343,0.59367,1.17231,0.93698,0.89794,0.92491,0.60417,1.28201,0.5851,1.2905,0.0013565,0.0013565,0.0013565
67,1762.28,1.22351,0.58701,1.1855,0.94579,0.89087,0.92159,0.59818,1.3076,0.58153,1.29906,0.0013466,0.0013466,0.0013466
68,1787.28,1.20353,0.58933,1.17494,0.94938,0.89087,0.92906,0.60628,1.27184,0.56287,1.28423,0.0013367,0.0013367,0.0013367
69,1812.28,1.19442,0.56561,1.15345,0.94331,0.88881,0.92248,0.59686,1.26309,0.60269,1.28254,0.0013268,0.0013268,0.0013268
70,1837.27,1.19335,0.57706,1.17102,0.93653,0.90136,0.92496,0.60031,1.29345,0.58173,1.29419,0.0013169,0.0013169,0.0013169
71,1862.26,1.16866,0.57437,1.15021,0.94098,0.89979,0.92331,0.60727,1.23101,0.56137,1.26181,0.001307,0.001307,0.001307
72,1887.26,1.19336,0.58337,1.16727,0.94891,0.89568,0.93006,0.60096,1.29871,0.57195,1.29579,0.0012971,0.0012971,0.0012971
73,1912.35,1.17138,0.57555,1.14537,0.9378,0.89979,0.9262,0.61391,1.24287,0.5377,1.2806,0.0012872,0.0012872,0.0012872
74,1937.62,1.18123,0.57776,1.16141,0.94423,0.88675,0.92379,0.60821,1.25902,0.57522,1.29127,0.0012773,0.0012773,0.0012773
75,1962.58,1.16359,0.57175,1.15095,0.94807,0.89705,0.93111,0.61417,1.21717,0.54289,1.26076,0.0012674,0.0012674,0.0012674
76,1987.68,1.1601,0.57037,1.13658,0.95361,0.88887,0.92835,0.61941,1.21118,0.54174,1.25471,0.0012575,0.0012575,0.0012575
77,2012.82,1.15228,0.56559,1.15215,0.94434,0.885,0.92922,0.61024,1.23259,0.54677,1.26662,0.0012476,0.0012476,0.0012476
78,2037.86,1.14394,0.55787,1.14189,0.94612,0.90734,0.92865,0.62374,1.18916,0.53065,1.2386,0.0012377,0.0012377,0.0012377
79,2062.97,1.13174,0.54732,1.11449,0.9482,0.89705,0.92663,0.617,1.20913,0.54166,1.25229,0.0012278,0.0012278,0.0012278
80,2087.96,1.13507,0.56372,1.13051,0.94906,0.90117,0.92554,0.62269,1.18489,0.53105,1.23661,0.0012179,0.0012179,0.0012179
81,2113.11,1.13138,0.54703,1.13516,0.94738,0.90213,0.93435,0.63243,1.18886,0.5231,1.25011,0.001208,0.001208,0.001208
82,2138.22,1.12828,0.54459,1.1314,0.9473,0.9094,0.93345,0.62608,1.19302,0.5225,1.23842,0.0011981,0.0011981,0.0011981
83,2163.3,1.10187,0.5361,1.10726,0.94456,0.90038,0.93039,0.62861,1.18517,0.52521,1.23771,0.0011882,0.0011882,0.0011882
84,2188.43,1.08538,0.53328,1.11255,0.95002,0.90597,0.93271,0.63382,1.16286,0.50537,1.22313,0.0011783,0.0011783,0.0011783
85,2213.63,1.08268,0.53036,1.11233,0.95903,0.9046,0.93329,0.6386,1.15653,0.49491,1.23198,0.0011684,0.0011684,0.0011684
86,2238.81,1.07752,0.53794,1.11131,0.94851,0.91039,0.92901,0.63479,1.14415,0.50079,1.21957,0.0011585,0.0011585,0.0011585
