epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,170.079,1.40507,0.69294,1.02382,0.89324,0.83266,0.89033,0.50874,1.41776,0.75584,1.06023,0.0015941,0.0015941,0.0015941
43,174.209,1.41824,0.69974,1.01728,0.88268,0.83734,0.89335,0.51074,1.40735,0.72973,1.05153,0.0015842,0.0015842,0.0015842
44,178.307,1.42851,0.69554,1.02497,0.89924,0.8453,0.90048,0.5079,1.42017,0.72421,1.06218,0.0015743,0.0015743,0.0015743
45,182.362,1.406,0.69623,1.02223,0.88722,0.82224,0.8909,0.50682,1.40292,0.73847,1.04849,0.0015644,0.0015644,0.0015644
46,186.405,1.3965,0.68621,1.03146,0.90189,0.85106,0.89912,0.50116,1.44035,0.72676,1.07672,0.0015545,0.0015545,0.0015545
47,190.458,1.39514,0.68074,1.01233,0.90416,0.83116,0.89709,0.49451,1.3879,0.70401,1.04298,0.0015446,0.0015446,0.0015446
48,194.487,1.42259,0.68373,1.01135,0.90167,0.84695,0.90119,0.51596,1.36768,0.69649,1.03994,0.0015347,0.0015347,0.0015347
49,198.613,1.38989,0.67983,1.01208,0.88732,0.85392,0.90232,0.51224,1.40189,0.74939,1.04968,0.0015248,0.0015248,0.0015248
50,202.668,1.38983,0.68727,1.01421,0.89386,0.86121,0.90483,0.52247,1.36439,0.70018,1.04664,0.0015149,0.0015149,0.0015149
51,206.763,1.36655,0.65915,1.00211,0.88634,0.85038,0.89676,0.52685,1.38384,0.68014,1.04459,0.001505,0.001505,0.001505
52,210.899,1.36341,0.67265,1.01316,0.89018,0.84283,0.89766,0.5141,1.37738,0.72067,1.05388,0.0014951,0.0014951,0.0014951
53,214.937,1.37689,0.68055,1.00997,0.90843,0.8641,0.90517,0.51954,1.3556,0.72248,1.03043,0.0014852,0.0014852,0.0014852
54,218.981,1.35403,0.65715,1.00288,0.89242,0.85975,0.90039,0.50477,1.38207,0.71915,1.03828,0.0014753,0.0014753,0.0014753
55,223.03,1.37422,0.67305,1.01717,0.88524,0.82594,0.89521,0.53532,1.33536,0.69533,1.03363,0.0014654,0.0014654,0.0014654
56,227.154,1.36906,0.66536,0.99733,0.91563,0.84169,0.90626,0.5341,1.35913,0.69495,1.04192,0.0014555,0.0014555,0.0014555
57,231.317,1.3509,0.65827,1.00498,0.92432,0.84664,0.90505,0.52255,1.3704,0.68463,1.0447,0.0014456,0.0014456,0.0014456
58,235.349,1.3515,0.66762,1.02053,0.92202,0.86021,0.90973,0.54277,1.33263,0.68363,1.02619,0.0014357,0.0014357,0.0014357
59,239.488,1.34241,0.65373,1.01071,0.89553,0.88252,0.91158,0.53391,1.35341,0.66735,1.03815,0.0014258,0.0014258,0.0014258
60,243.519,1.36768,0.66759,1.00459,0.90762,0.85635,0.90086,0.51794,1.4057,0.68872,1.04922,0.0014159,0.0014159,0.0014159
61,247.542,1.3651,0.66488,1.00743,0.88582,0.8626,0.8965,0.51376,1.35935,0.69374,1.03905,0.001406,0.001406,0.001406
62,251.569,1.36778,0.66673,0.9938,0.90822,0.86934,0.90881,0.55294,1.31533,0.67122,1.01732,0.0013961,0.0013961,0.0013961
63,255.67,1.34055,0.65078,0.99369,0.92226,0.86205,0.90917,0.53902,1.38515,0.69598,1.03517,0.0013862,0.0013862,0.0013862
64,259.694,1.3338,0.64971,0.99833,0.88456,0.86479,0.90363,0.5337,1.33181,0.68402,1.03194,0.0013763,0.0013763,0.0013763
65,263.732,1.35214,0.67095,0.99016,0.93228,0.85381,0.91579,0.53939,1.32719,0.64526,1.01997,0.0013664,0.0013664,0.0013664
66,267.766,1.34419,0.65625,0.99115,0.90939,0.85417,0.90677,0.53233,1.37954,0.69554,1.05298,0.0013565,0.0013565,0.0013565
67,271.818,1.34133,0.64698,0.99168,0.92962,0.86129,0.91104,0.5437,1.32602,0.64383,1.0208,0.0013466,0.0013466,0.0013466
68,275.877,1.33112,0.64804,0.9995,0.90819,0.86903,0.91119,0.54197,1.32939,0.64106,1.01098,0.0013367,0.0013367,0.0013367
69,279.91,1.31598,0.63669,0.98396,0.916,0.86068,0.90827,0.55306,1.30824,0.68295,1.02368,0.0013268,0.0013268,0.0013268
70,284.025,1.32248,0.64577,0.98003,0.92509,0.87304,0.91668,0.54288,1.33895,0.63138,1.03186,0.0013169,0.0013169,0.0013169
71,288.089,1.32038,0.63333,0.98616,0.9197,0.85689,0.90614,0.53615,1.31854,0.64391,1.01611,0.001307,0.001307,0.001307
72,292.119,1.32181,0.65506,0.99722,0.88881,0.84077,0.89912,0.5208,1.33197,0.65637,1.02417,0.0012971,0.0012971,0.0012971
73,296.156,1.32935,0.65103,0.99329,0.91334,0.87528,0.91674,0.55633,1.29808,0.64822,1.0127,0.0012872,0.0012872,0.0012872
74,300.27,1.30173,0.63033,0.98573,0.91796,0.87371,0.91258,0.55192,1.31515,0.73141,1.01821,0.0012773,0.0012773,0.0012773
75,304.305,1.3462,0.64838,0.98017,0.92044,0.88058,0.91884,0.54706,1.33625,0.64749,1.02206,0.0012674,0.0012674,0.0012674
76,308.329,1.28512,0.63634,0.97875,0.91024,0.87002,0.90787,0.5375,1.34748,0.66077,1.02658,0.0012575,0.0012575,0.0012575
