epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1329,2.0281,2.013,1.58548,0.22106,0.47148,0.16114,0.06967,2.28364,10.9687,3.43606,0.000658009,0.000658009,0.000658009
2,48.678,1.81265,1.4699,1.48097,0.65856,0.554,0.58566,0.28837,1.96401,3.44754,1.92222,0.00131156,0.00131156,0.00131156
3,73.4678,1.86583,1.50484,1.50717,0.51964,0.2943,0.31952,0.15033,2.13278,3.24023,2.13451,0.00195191,0.00195191,0.00195191
4,98.3377,1.77696,1.23368,1.43474,0.64609,0.54308,0.5273,0.26141,1.95425,2.00399,1.78185,0.0019406,0.0019406,0.0019406
5,123.353,1.74749,1.22348,1.41546,0.80163,0.81493,0.77555,0.3824,1.85427,1.7063,1.68037,0.0019208,0.0019208,0.0019208
6,148.54,1.70542,1.13415,1.4002,0.74418,0.55825,0.60338,0.33905,1.88012,1.74848,1.71346,0.001901,0.001901,0.001901
7,173.637,1.69276,1.08504,1.39206,0.73541,0.67658,0.72985,0.3848,1.85389,1.70242,1.67661,0.0018812,0.0018812,0.0018812
8,198.804,1.65296,1.10039,1.38436,0.89081,0.79915,0.87581,0.47115,1.65609,1.55138,1.54709,0.0018614,0.0018614,0.0018614
9,223.977,1.62789,1.06234,1.38745,0.87009,0.77731,0.8445,0.45286,1.65465,1.24711,1.5476,0.0018416,0.0018416,0.0018416
10,249.077,1.63636,1.06924,1.35687,0.86014,0.83967,0.87748,0.49123,1.63126,1.24697,1.52677,0.0018218,0.0018218,0.0018218
11,274.141,1.59658,0.91096,1.34275,0.89792,0.84332,0.89259,0.47808,1.66694,1.02455,1.55779,0.001802,0.001802,0.001802
12,299.103,1.597,0.96214,1.33601,0.89773,0.81796,0.88879,0.48819,1.66513,1.17287,1.54988,0.0017822,0.0017822,0.0017822
13,324.105,1.56669,0.89741,1.32476,0.87884,0.82308,0.89002,0.50332,1.58539,1.05477,1.50278,0.0017624,0.0017624,0.0017624
14,349.115,1.5439,0.90172,1.33664,0.8718,0.80158,0.85899,0.47423,1.64275,1.80032,1.50339,0.0017426,0.0017426,0.0017426
15,374.025,1.55916,0.92253,1.33923,0.87192,0.82342,0.88181,0.49179,1.63215,1.00149,1.52733,0.0017228,0.0017228,0.0017228
16,398.911,1.53794,0.8775,1.33304,0.90602,0.84284,0.90266,0.49091,1.59046,0.95515,1.49349,0.001703,0.001703,0.001703
17,423.779,1.52552,0.87072,1.33111,0.8958,0.81796,0.88014,0.49524,1.58113,1.15099,1.48957,0.0016832,0.0016832,0.0016832
18,448.779,1.54579,0.86849,1.31834,0.93035,0.81869,0.88352,0.50225,1.60936,1.21581,1.5196,0.0016634,0.0016634,0.0016634
19,473.817,1.55761,0.87269,1.30282,0.87788,0.84709,0.89226,0.50593,1.55863,0.91807,1.46911,0.0016436,0.0016436,0.0016436
20,498.741,1.49392,0.83222,1.2843,0.90805,0.83291,0.89992,0.50474,1.50625,0.92207,1.4292,0.0016238,0.0016238,0.0016238
21,523.754,1.50287,0.86896,1.28072,0.8942,0.85498,0.9042,0.51784,1.51585,0.92357,1.43395,0.001604,0.001604,0.001604
22,548.699,1.47192,0.8029,1.28196,0.90575,0.85012,0.89239,0.50408,1.54423,0.86723,1.43717,0.0015842,0.0015842,0.0015842
23,573.538,1.4845,0.80081,1.2804,0.90252,0.84163,0.91149,0.52871,1.53752,0.86589,1.43588,0.0015644,0.0015644,0.0015644
24,598.494,1.47356,0.81074,1.29531,0.87933,0.83981,0.90876,0.51909,1.51989,0.975,1.43174,0.0015446,0.0015446,0.0015446
25,623.317,1.47525,0.80932,1.25524,0.9026,0.86037,0.91062,0.53339,1.50011,0.84348,1.43272,0.0015248,0.0015248,0.0015248
26,648.194,1.46709,0.775,1.27442,0.88731,0.84223,0.89351,0.52567,1.51564,0.86662,1.44571,0.001505,0.001505,0.001505
27,673.017,1.4783,0.78823,1.27565,0.89988,0.86711,0.91914,0.53708,1.48407,0.82114,1.41745,0.0014852,0.0014852,0.0014852
28,697.875,1.45259,0.77614,1.27055,0.90686,0.85498,0.92074,0.53513,1.5046,0.7933,1.42636,0.0014654,0.0014654,0.0014654
29,722.809,1.42902,0.75941,1.26255,0.90971,0.87379,0.92643,0.53705,1.47747,0.79546,1.402,0.0014456,0.0014456,0.0014456
30,747.675,1.45492,0.7783,1.27511,0.8757,0.86353,0.90558,0.51325,1.52257,0.8728,1.42959,0.0014258,0.0014258,0.0014258
31,772.602,1.42056,0.75879,1.24966,0.90494,0.878,0.92013,0.55013,1.45368,0.77817,1.38719,0.001406,0.001406,0.001406
32,797.476,1.41446,0.74213,1.26345,0.90897,0.84216,0.91567,0.52507,1.49033,0.83286,1.41724,0.0013862,0.0013862,0.0013862
33,822.376,1.40844,0.71735,1.24419,0.89906,0.88096,0.92238,0.55239,1.45137,0.78917,1.40893,0.0013664,0.0013664,0.0013664
34,847.347,1.40592,0.72902,1.2621,0.89318,0.88284,0.92189,0.5472,1.42094,0.77438,1.38907,0.0013466,0.0013466,0.0013466
35,872.12,1.40224,0.73247,1.2649,0.90932,0.87625,0.92466,0.55044,1.45407,0.73896,1.40908,0.0013268,0.0013268,0.0013268
36,896.992,1.41097,0.71697,1.25239,0.89438,0.88107,0.91808,0.54602,1.47697,0.77251,1.41714,0.001307,0.001307,0.001307
37,921.888,1.37434,0.69685,1.2285,0.92411,0.87439,0.93215,0.56399,1.39625,0.75985,1.36704,0.0012872,0.0012872,0.0012872
38,946.843,1.37671,0.69599,1.24285,0.9048,0.88956,0.92755,0.53996,1.43159,0.72244,1.38488,0.0012674,0.0012674,0.0012674
39,971.854,1.34164,0.67299,1.2077,0.9161,0.88532,0.93047,0.56058,1.40422,0.70077,1.37656,0.0012476,0.0012476,0.0012476
40,996.661,1.3407,0.68785,1.22723,0.91656,0.89017,0.92599,0.55639,1.40611,0.73365,1.37024,0.0012278,0.0012278,0.0012278
41,1021.62,1.37229,0.70275,1.2233,0.88839,0.89357,0.9136,0.55817,1.39362,0.72119,1.36804,0.001208,0.001208,0.001208
42,1046.56,1.37286,0.69251,1.22886,0.91819,0.89214,0.93175,0.56517,1.4108,0.68899,1.38151,0.0011882,0.0011882,0.0011882
43,1071.79,1.35022,0.67631,1.21578,0.92121,0.89397,0.92989,0.56968,1.39429,0.68091,1.36731,0.0011684,0.0011684,0.0011684
44,1096.87,1.34727,0.69085,1.21575,0.9184,0.89624,0.9353,0.56589,1.38439,0.71105,1.36682,0.0011486,0.0011486,0.0011486
45,1121.79,1.3323,0.66857,1.19755,0.91393,0.89927,0.92141,0.56292,1.39606,0.71131,1.36846,0.0011288,0.0011288,0.0011288
46,1146.74,1.31736,0.66121,1.21989,0.93512,0.8932,0.93972,0.57064,1.39622,0.66828,1.36308,0.001109,0.001109,0.001109
47,1171.74,1.33522,0.66158,1.21505,0.91784,0.90473,0.92773,0.56536,1.37321,0.6798,1.3409,0.0010892,0.0010892,0.0010892
48,1196.65,1.31711,0.66234,1.21203,0.90708,0.9017,0.93658,0.56675,1.36891,0.68053,1.35591,0.0010694,0.0010694,0.0010694
49,1221.5,1.30345,0.66101,1.2098,0.92615,0.90231,0.93699,0.56471,1.37318,0.6914,1.36311,0.0010496,0.0010496,0.0010496
50,1246.45,1.29956,0.64342,1.1863,0.90902,0.89745,0.93041,0.57026,1.34769,0.67151,1.3403,0.0010298,0.0010298,0.0010298
51,1271.28,1.28153,0.6399,1.17351,0.92624,0.90109,0.93957,0.58307,1.34591,0.67626,1.33726,0.00101,0.00101,0.00101
52,1296.09,1.29909,0.66372,1.21157,0.91163,0.90352,0.93054,0.58171,1.32435,0.69095,1.32327,0.0009902,0.0009902,0.0009902
53,1320.97,1.29642,0.64031,1.17456,0.9042,0.91062,0.92442,0.57256,1.33712,0.65448,1.3361,0.0009704,0.0009704,0.0009704
54,1345.88,1.26878,0.61916,1.17338,0.91938,0.89953,0.92942,0.58374,1.31582,0.64243,1.32181,0.0009506,0.0009506,0.0009506
55,1370.77,1.27961,0.62032,1.18459,0.90694,0.89892,0.92825,0.58104,1.33667,0.67147,1.34688,0.0009308,0.0009308,0.0009308
