epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.2523,2.33508,2.17588,1.37461,0.01818,0.20384,0.01516,0.00441,nan,nan,nan,0.000649573,0.000649573,0.000649573
2,8.30626,1.88183,1.10114,1.17853,0.07276,0.04804,0.01289,0.00563,nan,nan,nan,0.00130972,0.00130972,0.00130972
3,12.354,1.84327,1.04946,1.15038,0.03226,0.57447,0.02405,0.01057,nan,nan,nan,0.00196328,0.00196328,0.00196328
4,16.3893,1.75304,0.99334,1.12941,0.70615,0.64983,0.65949,0.32611,1.71221,1.93768,1.25788,0.0019703,0.0019703,0.0019703
5,20.3683,1.70416,0.9845,1.12687,0.75826,0.69732,0.7596,0.38472,1.70221,1.47668,1.21399,0.0019604,0.0019604,0.0019604
6,24.3745,1.71216,0.96935,1.11218,0.79073,0.73652,0.77107,0.3943,1.70591,1.60822,1.22313,0.0019505,0.0019505,0.0019505
7,28.3861,1.70217,0.95179,1.08891,0.80375,0.78142,0.80592,0.40136,1.63292,1.4991,1.13914,0.0019406,0.0019406,0.0019406
8,32.4354,1.66339,0.94747,1.08897,0.83079,0.77503,0.8119,0.42283,1.57479,1.0687,1.14176,0.0019307,0.0019307,0.0019307
9,36.4626,1.61893,0.92549,1.09103,0.80038,0.79256,0.80404,0.42697,1.57819,1.25004,1.12597,0.0019208,0.0019208,0.0019208
10,40.5003,1.61787,0.92372,1.08406,0.83485,0.75292,0.82749,0.41588,1.68525,1.02873,1.16302,0.0019109,0.0019109,0.0019109
11,44.4852,1.60393,0.87581,1.08001,0.8275,0.73751,0.79495,0.42487,1.65026,0.92198,1.16483,0.001901,0.001901,0.001901
12,48.4778,1.66307,0.88908,1.10175,0.80022,0.75223,0.81327,0.42365,1.60055,0.96107,1.13066,0.0018911,0.0018911,0.0018911
13,52.4471,1.64478,0.8945,1.08451,0.83971,0.80543,0.85238,0.46495,1.52134,1.09497,1.09945,0.0018812,0.0018812,0.0018812
14,56.5237,1.55589,0.83684,1.06096,0.81179,0.73714,0.76918,0.38859,1.56599,0.97108,1.12531,0.0018713,0.0018713,0.0018713
15,60.5297,1.55434,0.80687,1.06737,0.84985,0.83134,0.86209,0.45455,1.54287,0.94939,1.11044,0.0018614,0.0018614,0.0018614
16,64.5031,1.53325,0.81467,1.06504,0.84069,0.80165,0.84936,0.45062,1.57375,0.92979,1.13481,0.0018515,0.0018515,0.0018515
17,68.4871,1.56327,0.84095,1.06171,0.85702,0.78312,0.84196,0.43761,1.55856,0.85252,1.10908,0.0018416,0.0018416,0.0018416
18,72.4866,1.55537,0.82972,1.05279,0.87235,0.79272,0.85925,0.46475,1.51316,0.90279,1.08112,0.0018317,0.0018317,0.0018317
19,76.5673,1.52983,0.8056,1.04397,0.86051,0.80443,0.85217,0.46647,1.53723,1.00152,1.08682,0.0018218,0.0018218,0.0018218
20,80.6547,1.50452,0.82008,1.03698,0.81828,0.81591,0.84796,0.47596,1.54085,0.99813,1.103,0.0018119,0.0018119,0.0018119
21,84.7261,1.50389,0.80546,1.05721,0.88549,0.81194,0.87601,0.48201,1.52643,0.80721,1.10917,0.001802,0.001802,0.001802
22,88.8641,1.49582,0.79656,1.05036,0.8752,0.80859,0.87217,0.473,1.50413,0.91253,1.09643,0.0017921,0.0017921,0.0017921
23,92.8738,1.51027,0.79126,1.03931,0.8667,0.82554,0.87569,0.47777,1.53386,0.868,1.09894,0.0017822,0.0017822,0.0017822
24,96.8928,1.51407,0.78548,1.04095,0.89596,0.82748,0.88135,0.48544,1.53905,0.8446,1.09438,0.0017723,0.0017723,0.0017723
25,100.993,1.49188,0.77414,1.03913,0.88469,0.81606,0.86948,0.46347,1.47407,0.81099,1.08028,0.0017624,0.0017624,0.0017624
26,105.025,1.50305,0.77006,1.03039,0.85145,0.80646,0.85683,0.47896,1.47379,0.79064,1.07045,0.0017525,0.0017525,0.0017525
27,109.085,1.50158,0.7663,1.03167,0.89125,0.82689,0.88722,0.48402,1.50843,0.7832,1.08678,0.0017426,0.0017426,0.0017426
28,113.106,1.46142,0.76837,1.02725,0.89935,0.84016,0.89223,0.49105,1.48629,0.76427,1.08904,0.0017327,0.0017327,0.0017327
29,117.226,1.50268,0.81169,1.03849,0.89319,0.8394,0.88826,0.49889,1.46839,0.83507,1.07973,0.0017228,0.0017228,0.0017228
30,121.333,1.4807,0.78569,1.03241,0.90066,0.80898,0.86497,0.49162,1.4507,0.81868,1.07256,0.0017129,0.0017129,0.0017129
31,125.396,1.46936,0.75857,1.03257,0.88078,0.849,0.89678,0.51971,1.40806,0.74594,1.05419,0.001703,0.001703,0.001703
32,129.493,1.45685,0.74893,1.02078,0.88363,0.83907,0.88077,0.48586,1.45281,0.84111,1.06773,0.0016931,0.0016931,0.0016931
33,133.525,1.44608,0.75426,1.01905,0.9001,0.82086,0.88888,0.49509,1.4739,0.78906,1.07547,0.0016832,0.0016832,0.0016832
34,137.545,1.44953,0.74515,1.02289,0.89213,0.83665,0.8812,0.5071,1.44495,0.79611,1.06883,0.0016733,0.0016733,0.0016733
35,141.579,1.47065,0.73234,1.01649,0.88497,0.82376,0.89056,0.50317,1.45514,0.80172,1.07632,0.0016634,0.0016634,0.0016634
36,145.616,1.43867,0.75747,1.02363,0.88017,0.81606,0.8831,0.48915,1.462,0.79658,1.06791,0.0016535,0.0016535,0.0016535
37,149.642,1.42151,0.72674,1.01632,0.89769,0.82704,0.87653,0.47419,1.47006,0.78643,1.0801,0.0016436,0.0016436,0.0016436
38,153.69,1.44047,0.72941,1.02058,0.8821,0.83047,0.88634,0.50577,1.41811,0.77793,1.06197,0.0016337,0.0016337,0.0016337
39,157.743,1.44424,0.72725,1.01731,0.89532,0.85123,0.89195,0.50111,1.43704,0.76247,1.06879,0.0016238,0.0016238,0.0016238
40,161.773,1.44095,0.72206,1.0165,0.91844,0.82841,0.90018,0.50239,1.44246,0.72029,1.06719,0.0016139,0.0016139,0.0016139
41,165.841,1.43623,0.73381,1.02378,0.8919,0.84373,0.89666,0.50644,1.43269,0.75518,1.0557,0.001604,0.001604,0.001604
42,169.876,1.41252,0.70595,1.01317,0.90158,0.85655,0.89708,0.50684,1.40934,0.75783,1.04785,0.0015941,0.0015941,0.0015941
43,173.912,1.41529,0.71265,1.0096,0.91017,0.82057,0.89708,0.50203,1.45127,0.72585,1.06869,0.0015842,0.0015842,0.0015842
44,177.95,1.4255,0.70443,1.00968,0.90446,0.85106,0.90397,0.51184,1.43272,0.72836,1.05564,0.0015743,0.0015743,0.0015743
45,182.005,1.4314,0.71177,1.01133,0.88552,0.85106,0.88836,0.49092,1.44834,0.75014,1.06849,0.0015644,0.0015644,0.0015644
46,186.034,1.41268,0.70651,1.01714,0.90108,0.87533,0.91311,0.5129,1.40982,0.69011,1.04527,0.0015545,0.0015545,0.0015545
47,190.08,1.40228,0.68888,1.00003,0.92773,0.84585,0.91312,0.52665,1.39319,0.66994,1.04025,0.0015446,0.0015446,0.0015446
48,194.184,1.39834,0.69317,0.98849,0.91956,0.84832,0.90573,0.53078,1.37923,0.68886,1.04625,0.0015347,0.0015347,0.0015347
49,198.303,1.38506,0.69276,0.99748,0.91358,0.86342,0.91703,0.54256,1.37982,0.68901,1.03815,0.0015248,0.0015248,0.0015248
50,202.409,1.37797,0.68709,0.99927,0.89951,0.85861,0.90123,0.54039,1.37196,0.72855,1.04752,0.0015149,0.0015149,0.0015149
51,206.448,1.37651,0.6874,0.99132,0.89117,0.85993,0.90622,0.53315,1.38552,0.68159,1.04359,0.001505,0.001505,0.001505
52,210.474,1.37312,0.70252,0.99973,0.90697,0.84351,0.907,0.51137,1.35614,0.6906,1.03801,0.0014951,0.0014951,0.0014951
53,214.522,1.39122,0.70094,1.00141,0.90435,0.85008,0.90794,0.53676,1.38787,0.68217,1.03939,0.0014852,0.0014852,0.0014852
54,218.537,1.36579,0.6681,0.99394,0.89305,0.87714,0.91368,0.54318,1.33544,0.68185,1.02231,0.0014753,0.0014753,0.0014753
55,222.649,1.36656,0.67046,1.00167,0.91453,0.8666,0.90828,0.5263,1.32452,0.66743,1.01649,0.0014654,0.0014654,0.0014654
