epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,173.56,1.39031,0.70139,1.01438,0.911,0.84347,0.90581,0.50899,1.35629,0.65267,1.01184,0.0011684,0.0011684,0.0011684
44,177.603,1.38125,0.6755,1.01053,0.92717,0.84708,0.91231,0.52499,1.33574,0.65661,1.00479,0.0011486,0.0011486,0.0011486
45,181.64,1.37559,0.67196,1.00355,0.91185,0.86531,0.91359,0.51932,1.34372,0.6507,1.01239,0.0011288,0.0011288,0.0011288
46,185.667,1.37653,0.69511,1.02013,0.92254,0.8834,0.92501,0.54062,1.29704,0.61449,0.99884,0.001109,0.001109,0.001109
47,189.817,1.36035,0.67495,1.0173,0.90312,0.8684,0.91495,0.52592,1.30511,0.64736,0.99861,0.0010892,0.0010892,0.0010892
48,193.838,1.39557,0.68934,0.9989,0.92623,0.86692,0.91938,0.53147,1.32847,0.62202,1.00574,0.0010694,0.0010694,0.0010694
49,197.879,1.38345,0.66687,0.99778,0.92128,0.85551,0.91495,0.52289,1.31263,0.6318,0.997,0.0010496,0.0010496,0.0010496
50,201.908,1.39005,0.67106,1.0111,0.91107,0.88783,0.9256,0.53999,1.31641,0.60985,1.00682,0.0010298,0.0010298,0.0010298
51,205.946,1.36063,0.65834,0.99639,0.91068,0.86583,0.91677,0.53545,1.32474,0.62454,1.00584,0.00101,0.00101,0.00101
52,209.991,1.35832,0.66779,0.99202,0.91122,0.87812,0.92272,0.53186,1.33227,0.63368,1.00511,0.0009902,0.0009902,0.0009902
53,214.027,1.34474,0.65274,0.98457,0.92636,0.88492,0.92314,0.53963,1.30184,0.62117,0.99994,0.0009704,0.0009704,0.0009704
54,218.057,1.32742,0.64158,0.99495,0.91217,0.87579,0.91282,0.52595,1.32437,0.63141,1.00179,0.0009506,0.0009506,0.0009506
55,222.072,1.33093,0.65638,0.99362,0.90952,0.87136,0.92459,0.53589,1.31697,0.61546,0.99896,0.0009308,0.0009308,0.0009308
56,226.088,1.3611,0.6485,0.98114,0.91339,0.87643,0.91962,0.53074,1.31425,0.63122,0.9942,0.000911,0.000911,0.000911
57,230.104,1.32163,0.65276,0.99022,0.92969,0.85465,0.92627,0.5316,1.34823,0.62408,1.00711,0.0008912,0.0008912,0.0008912
58,234.152,1.32262,0.64474,0.99114,0.92319,0.88593,0.92988,0.54125,1.32057,0.61611,0.99998,0.0008714,0.0008714,0.0008714
59,238.243,1.35072,0.6536,0.99391,0.92352,0.87452,0.91946,0.5294,1.31004,0.61966,0.99919,0.0008516,0.0008516,0.0008516
60,242.266,1.32523,0.64512,0.98258,0.92626,0.87833,0.92977,0.55457,1.29507,0.59868,0.99025,0.0008318,0.0008318,0.0008318
61,246.367,1.34088,0.63978,0.98412,0.91639,0.8891,0.91767,0.53408,1.31065,0.60724,0.99492,0.000812,0.000812,0.000812
62,250.375,1.33164,0.64782,0.98556,0.93556,0.87643,0.9292,0.55764,1.29643,0.59114,0.98951,0.0007922,0.0007922,0.0007922
63,254.476,1.30598,0.63407,0.97853,0.92498,0.88973,0.9313,0.55398,1.28115,0.60317,0.98735,0.0007724,0.0007724,0.0007724
64,258.495,1.29269,0.62608,0.98214,0.92115,0.89354,0.93061,0.56179,1.25716,0.57461,0.98004,0.0007526,0.0007526,0.0007526
65,262.588,1.29596,0.62914,0.96963,0.93005,0.8929,0.92992,0.56024,1.27597,0.58758,0.98483,0.0007328,0.0007328,0.0007328
66,266.637,1.28752,0.61302,0.96131,0.92405,0.89544,0.93163,0.56006,1.27914,0.5793,0.98901,0.000713,0.000713,0.000713
67,270.672,1.26592,0.6119,0.97423,0.92032,0.88403,0.92905,0.55569,1.27734,0.57955,0.98925,0.0006932,0.0006932,0.0006932
68,274.689,1.29762,0.60963,0.97775,0.91525,0.87601,0.92238,0.55841,1.29809,0.60263,0.99618,0.0006734,0.0006734,0.0006734
69,278.738,1.3009,0.61845,0.97969,0.93008,0.87072,0.92492,0.56112,1.25453,0.57679,0.97781,0.0006536,0.0006536,0.0006536
70,282.77,1.27233,0.5961,0.96861,0.93517,0.88593,0.92591,0.56114,1.26001,0.56761,0.97861,0.0006338,0.0006338,0.0006338
71,286.813,1.27098,0.59942,0.95017,0.92667,0.88885,0.93084,0.55441,1.26094,0.57753,0.98219,0.000614,0.000614,0.000614
72,290.85,1.29601,0.62213,0.96808,0.94161,0.88466,0.93422,0.57241,1.24546,0.56384,0.9769,0.0005942,0.0005942,0.0005942
73,294.949,1.2716,0.6034,0.97042,0.90277,0.87643,0.92666,0.55379,1.29285,0.58577,0.98975,0.0005744,0.0005744,0.0005744
74,298.948,1.2356,0.59431,0.96686,0.93053,0.891,0.93347,0.57287,1.24477,0.5598,0.97305,0.0005546,0.0005546,0.0005546
75,303.045,1.24828,0.59248,0.9659,0.93022,0.89734,0.93615,0.57859,1.24713,0.55495,0.97498,0.0005348,0.0005348,0.0005348
76,307.132,1.2496,0.59759,0.96708,0.92868,0.90051,0.93048,0.56522,1.2598,0.56573,0.97713,0.000515,0.000515,0.000515
77,311.147,1.25874,0.59429,0.95415,0.94549,0.89031,0.93752,0.57589,1.22954,0.56088,0.9707,0.0004952,0.0004952,0.0004952
78,315.163,1.25802,0.58816,0.96068,0.947,0.88593,0.93723,0.57352,1.24412,0.56058,0.9766,0.0004754,0.0004754,0.0004754
79,319.197,1.25354,0.60512,0.95925,0.94084,0.8948,0.93446,0.57356,1.24432,0.56228,0.97618,0.0004556,0.0004556,0.0004556
80,323.218,1.24008,0.58211,0.94827,0.93378,0.90431,0.93829,0.58407,1.228,0.5485,0.96752,0.0004358,0.0004358,0.0004358
81,327.339,1.23073,0.58325,0.95728,0.9387,0.89279,0.93807,0.58091,1.22362,0.5466,0.96679,0.000416,0.000416,0.000416
82,331.352,1.23506,0.57463,0.95222,0.94258,0.8948,0.9354,0.58446,1.22335,0.54558,0.96889,0.0003962,0.0003962,0.0003962
